Iteration	Compliance	Area
1	13.1999	0.860179
2	12.9889	0.835594
3	13.024	0.810405
4	13.0757	0.784347
5	13.1619	0.757636
6	13.4489	0.72998
7	13.7401	0.701481
8	14.0942	0.672082
9	14.5223	0.641787
10	15.0302	0.610841
11	15.6839	0.578876
12	16.1647	0.545435
13	16.826	0.512276
14	17.6727	0.478625
15	18.8171	0.444571
16	20.3702	0.410311
17	20.2145	0.399107
18	19.6139	0.399449
19	19.2654	0.399823
20	19.0834	0.39967
21	19.0332	0.399717
22	18.8516	0.399755
23	18.825	0.39978
24	18.7875	0.399845
25	18.6686	0.399823
26	18.6591	0.399814
27	18.6344	0.399858
28	18.627	0.399866
29	18.5893	0.399837
30	18.5864	0.399852
31	18.5429	0.399866
32	18.5426	0.400164
33	18.5428	0.399841
34	18.4123	0.399795
35	18.4086	0.399857
36	18.3996	0.399831
37	18.3985	0.399847
38	18.3966	0.39985
39	18.3951	0.399882
40	18.3834	0.399877
41	18.3835	0.399851
42	18.384	0.399884
43	18.3861	0.399863
44	18.3855	0.399872
45	18.2511	0.399842
46	18.246	0.399869
47	18.244	0.399852
48	18.239	0.399904
49	18.2361	0.400413
50	18.2344	0.399823
51	18.228	0.399832
52	18.2204	0.399976
53	18.2148	0.399754
54	18.2008	0.399883
55	18.1989	0.399796
56	18.1974	0.399948
57	18.1972	0.399795
58	18.198	0.399905
59	18.1979	0.399795
60	18.1986	0.399921
